storenum,nickname,address1,address2,address3,city,country,email1,email2,fax1,fax2,zone,field2,field3,phone1,phone2,state,zipcode,firstname,lastname,middlename,latitude,longitude,active,monopen,monclose,tueopen,tueclose,wedopen,wedclose,thuopen,thuclose,friopen,friclose,satopen,satclose,sunopen,sunclose
"1961","TSC_STORE_1961","1920 PAXVILLE HWY","","","MANNING","US","","","","","23","Y","","803-433-5565","","SC","29102","","","","33.698475","-80.224442","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1206","TSC_STORE_1206","912 MIDDLETOWN WARWICK RD","","","MIDDLETOWN","US","","","","","53","Y","","302-376-5900","","DE","19709","","","","39.436852","-75.751625","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"317","TSC_STORE_0317","3120 RIFFEL DR","","","SALINA","US","","","","","51","Y","","785-827-3300","","KS","67401","","","","38.780388","-97.614197","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1663","TSC_STORE_1663","716 MOHAWK ST","","","HERKIMER","US","","","","","62","Y","","315-866-9770","","NY","13350","","","","43.018848","-74.993179","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1407","TSC_STORE_1407","111 SOUTHLAND VILLAGE","","","TROY","US","","","","","23","Y","","334-808-9304","","AL","36079","","","","31.785166","-85.966423","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1256","TSC_STORE_1256","2470 ANDERSON HWY STE G","","","POWHATAN","US","","","","","52","Y","","804-598-7765","","VA","23139","","","","37.522114","-77.817398","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1702","TSC_STORE_1702","6922 HWY 77","","","SOUTHPORT","US","","","","","02","Y","","850-265-0231","","FL","32409-1571","","","","30.277809","-85.636948","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"288","TSC_STORE_0288","1457 NORTH HIGH ST","","","HILLSBORO","US","","","","","71","Y","","937-393-9976","","OH","45133","","","","39.228092","-83.611092","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1875","TSC_STORE_1875","720 DEL SOL DR","","","ALAMOSA","US","","","","","81","Y","","719-589-2490","","CO","81101-8533","","","","37.482159","-105.901939","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1920","TSC_STORE_1920","103 TALMADGE DR STE B","","","MOULTRIE","US","","","","","02","Y","","229-985-2740","","GA","31768-5050","","","","31.178007","-83.771843","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1101","TSC_STORE_1101","901 SOUTHEAST WASHINGTON ST","","","IDABEL","US","","","","","13","Y","","580-208-2310","","OK","74745","","","","33.896549","-94.817322","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1588","TSC_STORE_1588","2000 LAKEVILLE HWY STE A","","","PETALUMA","US","","","","","08","Y","","707-775-4289","","CA","94954","","","","38.232491","-122.611603","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1410","TSC_STORE_1410","979 US RTE 2 EAST","","","WILTON","US","","","","","62","Y","","207-778-5900","","ME","04294","","","","44.617226","-70.169769","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"446","TSC_STORE_0446","1200 FM 1462","","","ALVIN","US","","","","","13","Y","","281-824-9609","","TX","77511","","","","29.402485","-95.24752","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"700","TSC_STORE_0700","1212 NORTH QUEEN ST","","","MARTINSBURG","US","","","","","53","Y","","304-263-5072","","WV","25403","","","","39.471542","-77.955696","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1563","TSC_STORE_1563","438 NORTHSIDE DR EAST","","","STATESBORO","US","","","","","22","Y","","912-489-2411","","GA","30458","","","","32.439487","-81.761688","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1280","TSC_STORE_1280","1700 BELL LN","","","ATWATER","US","","","","","08","Y","","209-357-7351","","CA","95301","","","","37.344944","-120.615959","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"782","TSC_STORE_0782","4709 TRADERS WAY","","","THOMPSONS STATION","US","","","","","53","Y","","615-790-9709","","TN","37179","","","","35.78336","-86.914978","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2052","TSC_STORE_2052","1207 NORTH AVE G","","","CLIFTON","US","","","","","13","Y","","254-675-2626","","TX","76634","","","","31.794571","-97.586662","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1851","TSC_STORE_1851","11946 LESLIE RD","","","HELOTES","US","","","","","14","Y","","210-695-8023","","TX","78023","","","","29.553692","-98.683723","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"725","TSC_STORE_0725","2111 WEST MAIN ST","","","LOWELL","US","","","","","72","Y","","616-987-9338","","MI","49331","","","","42.932182","-85.361916","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1756","TSC_STORE_1756","40 SHIPPENSBURG SHOPPING CTR","","","SHIPPENSBURG","US","","","","","72","Y","","717-477-0932","","PA","17257-9496","","","","40.057709","-77.497818","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
